,regions,periods,demand_comm,demand,demand_units
0,CA,2017,CSC,149.39223281656197,PJ
1,CEN,2017,CSC,173.04889872269425,PJ
2,MID_AT,2017,CSC,269.3426665011616,PJ
3,NE,2017,CSC,99.31123585761354,PJ
4,NW,2017,CSC,11.922847036317245,PJ
5,N_CEN,2017,CSC,156.67273772689265,PJ
6,SE,2017,CSC,626.1059727757879,PJ
7,SW,2017,CSC,81.88956219843554,PJ
8,TX,2017,CSC,311.77833555585016,PJ
9,CA,2018,CSC,149.4518004356763,PJ
10,CEN,2018,CSC,174.4289667960378,PJ
11,MID_AT,2018,CSC,270.2867585531229,PJ
12,NE,2018,CSC,99.41492941382397,PJ
13,NW,2018,CSC,11.949124489856528,PJ
14,N_CEN,2018,CSC,157.13482174107747,PJ
15,SE,2018,CSC,629.6865232604756,PJ
16,SW,2018,CSC,82.46390534842709,PJ
17,TX,2018,CSC,314.7369185954625,PJ
18,CA,2019,CSC,149.51220703534136,PJ
19,CEN,2019,CSC,175.90609810952017,PJ
20,MID_AT,2019,CSC,271.2450390911219,PJ
21,NE,2019,CSC,99.5291235058538,PJ
22,NW,2019,CSC,11.977063406608446,PJ
23,N_CEN,2019,CSC,157.62001057530136,PJ
24,SE,2019,CSC,633.1809825646386,PJ
25,SW,2019,CSC,83.07883812032608,PJ
26,TX,2019,CSC,317.87412423356403,PJ
27,CA,2020,CSC,149.68419804827718,PJ
28,CEN,2020,CSC,176.47138311494464,PJ
29,MID_AT,2020,CSC,272.1663182080784,PJ
30,NE,2020,CSC,99.58047734238781,PJ
31,NW,2020,CSC,12.012928944623807,PJ
32,N_CEN,2020,CSC,158.20915892666434,PJ
33,SE,2020,CSC,636.7132786839928,PJ
34,SW,2020,CSC,83.73030155194192,PJ
35,TX,2020,CSC,318.9513199039317,PJ
36,CA,2021,CSC,149.82850270303317,PJ
37,CEN,2021,CSC,177.19760795856266,PJ
38,MID_AT,2021,CSC,273.057638806063,PJ
39,NE,2021,CSC,99.62617718702694,PJ
40,NW,2021,CSC,12.046945956960286,PJ
41,N_CEN,2021,CSC,158.7287351177906,PJ
42,SE,2021,CSC,640.1547330571543,PJ
43,SW,2021,CSC,84.37567654027156,PJ
44,TX,2021,CSC,320.39278087340233,PJ
45,CA,2022,CSC,149.95434978566902,PJ
46,CEN,2022,CSC,177.86378431531944,PJ
47,MID_AT,2022,CSC,273.89637741124955,PJ
48,NE,2022,CSC,99.65006851205713,PJ
49,NW,2022,CSC,12.077795285133194,PJ
50,N_CEN,2022,CSC,159.22835732088814,PJ
51,SE,2022,CSC,643.4344531813903,PJ
52,SW,2022,CSC,84.96828502012141,PJ
53,TX,2022,CSC,321.73362037909544,PJ
54,CA,2023,CSC,150.07180706279593,PJ
55,CEN,2023,CSC,178.46884464589644,PJ
56,MID_AT,2023,CSC,274.63952792107756,PJ
57,NE,2023,CSC,99.64936482937313,PJ
58,NW,2023,CSC,12.106585303464424,PJ
59,N_CEN,2023,CSC,159.6668065925752,PJ
60,SE,2023,CSC,646.4250108414151,PJ
61,SW,2023,CSC,85.52131861861153,PJ
62,TX,2023,CSC,322.9730584096631,PJ
63,CA,2024,CSC,150.1825524955156,PJ
64,CEN,2024,CSC,179.01653662288248,PJ
65,MID_AT,2024,CSC,275.2801137627212,PJ
66,NE,2024,CSC,99.6357337019824,PJ
67,NW,2024,CSC,12.133735937812775,PJ
68,N_CEN,2024,CSC,160.03909522602405,PJ
69,SE,2024,CSC,649.0992472805574,PJ
70,SW,2024,CSC,86.04289526012326,PJ
71,TX,2024,CSC,324.0767744658328,PJ
72,CA,2025,CSC,150.285747103277,PJ
73,CEN,2025,CSC,179.5214893291561,PJ
74,MID_AT,2025,CSC,275.8634967654914,PJ
75,NE,2025,CSC,99.61977215714055,PJ
76,NW,2025,CSC,12.159682336485824,PJ
77,N_CEN,2025,CSC,160.37016431811705,PJ
78,SE,2025,CSC,651.5424464520273,PJ
79,SW,2025,CSC,86.54519183122892,PJ
80,TX,2025,CSC,325.10872947806746,PJ
81,CA,2026,CSC,150.37971292497843,PJ
82,CEN,2026,CSC,180.0230246367335,PJ
83,MID_AT,2026,CSC,276.40208118168005,PJ
84,NE,2026,CSC,99.59006388079489,PJ
85,NW,2026,CSC,12.18448840705253,PJ
86,N_CEN,2026,CSC,160.68705654550806,PJ
87,SE,2026,CSC,653.8610572382953,PJ
88,SW,2026,CSC,87.03226729411924,PJ
89,TX,2026,CSC,326.1040239569878,PJ
90,CA,2027,CSC,150.47787364943431,PJ
91,CEN,2027,CSC,180.51935286888914,PJ
92,MID_AT,2027,CSC,276.9614264575157,PJ
93,NE,2027,CSC,99.5902568636673,PJ
94,NW,2027,CSC,12.209537903220003,PJ
95,N_CEN,2027,CSC,161.0063113843584,PJ
96,SE,2027,CSC,656.147491490231,PJ
97,SW,2027,CSC,87.51934275700948,PJ
98,TX,2027,CSC,327.10477851533796,PJ
99,CA,2028,CSC,150.5743564127887,PJ
100,CEN,2028,CSC,181.0176717522006,PJ
101,MID_AT,2028,CSC,277.5594337646492,PJ
102,NE,2028,CSC,99.59709335850192,PJ
103,NW,2028,CSC,12.234570668051791,PJ
104,N_CEN,2028,CSC,161.35182025218654,PJ
105,SE,2028,CSC,658.4578514912606,PJ
106,SW,2028,CSC,88.00844770099528,PJ
107,TX,2028,CSC,328.1156732212009,PJ
108,CA,2029,CSC,150.67671203999933,PJ
109,CEN,2029,CSC,181.53062848202748,PJ
110,MID_AT,2029,CSC,278.17320726518165,PJ
111,NE,2029,CSC,99.61095205719366,PJ
112,NW,2029,CSC,12.26010550653388,PJ
113,N_CEN,2029,CSC,161.69890479229505,PJ
114,SE,2029,CSC,660.7868231827678,PJ
115,SW,2029,CSC,88.50161160717165,PJ
116,TX,2029,CSC,329.13436804053464,PJ
117,CA,2030,CSC,150.78997441437178,PJ
118,CEN,2030,CSC,182.049407695168,PJ
119,MID_AT,2030,CSC,278.79700698167454,PJ
120,NE,2030,CSC,99.65211487294567,PJ
121,NW,2030,CSC,12.28635389048258,PJ
122,N_CEN,2030,CSC,162.04388920485366,PJ
123,SE,2030,CSC,663.1035038541429,PJ
124,SW,2030,CSC,88.99680499444348,PJ
125,TX,2030,CSC,330.15384287121543,PJ
126,CA,2031,CSC,150.91498251645666,PJ
127,CEN,2031,CSC,182.56858753545964,PJ
128,MID_AT,2031,CSC,279.46174833029676,PJ
129,NE,2031,CSC,99.69703822111835,PJ
130,NW,2031,CSC,12.313485463374967,PJ
131,N_CEN,2031,CSC,162.41512807351455,PJ
132,SE,2031,CSC,665.3895684062094,PJ
133,SW,2031,CSC,89.49707208445386,PJ
134,TX,2031,CSC,331.1452372934006,PJ
135,CA,2032,CSC,151.02908387137984,PJ
136,CEN,2032,CSC,183.10129122134532,PJ
137,MID_AT,2032,CSC,280.12429589316645,PJ
138,NE,2032,CSC,99.76690431739642,PJ
139,NW,2032,CSC,12.340145407514619,PJ
140,N_CEN,2032,CSC,162.78347919204785,PJ
141,SE,2032,CSC,667.6301781713927,PJ
142,SW,2032,CSC,90.00139813665481,PJ
143,TX,2032,CSC,332.1592520446516,PJ
144,CA,2033,CSC,151.1641597400756,PJ
145,CEN,2033,CSC,183.6290302251692,PJ
146,MID_AT,2033,CSC,280.8375720596887,PJ
147,NE,2033,CSC,99.84535017544135,PJ
148,NW,2033,CSC,12.367458007325714,PJ
149,N_CEN,2033,CSC,163.17808416870983,PJ
150,SE,2033,CSC,669.9519347583525,PJ
151,SW,2033,CSC,90.49151782118822,PJ
152,TX,2033,CSC,333.1771668526385,PJ
153,CA,2034,CSC,151.30762541428058,PJ
154,CEN,2034,CSC,184.16920668628558,PJ
155,MID_AT,2034,CSC,281.6119070974637,PJ
156,NE,2034,CSC,99.96260931911003,PJ
157,NW,2034,CSC,12.396749278073868,PJ
158,N_CEN,2034,CSC,163.602619230454,PJ
159,SE,2034,CSC,672.310306883367,PJ
160,SW,2034,CSC,91.0191829059861,PJ
161,TX,2034,CSC,334.1966416833195,PJ
162,CA,2035,CSC,151.46283681619832,PJ
163,CEN,2035,CSC,184.72295345459867,PJ
164,MID_AT,2035,CSC,282.391888493443,PJ
165,NE,2035,CSC,100.09594561173364,PJ
166,NW,2035,CSC,12.426802779408769,PJ
167,N_CEN,2035,CSC,164.03319313061075,PJ
168,SE,2035,CSC,674.6477578134898,PJ
169,SW,2035,CSC,91.5488774718792,PJ
170,TX,2035,CSC,335.22313661612446,PJ
171,CA,2036,CSC,151.61049739315786,PJ
172,CEN,2036,CSC,185.27888176315207,PJ
173,MID_AT,2036,CSC,283.19816029213155,PJ
174,NE,2036,CSC,100.24611280017675,PJ
175,NW,2036,CSC,12.45597460068687,PJ
176,N_CEN,2036,CSC,164.47479400313188,PJ
177,SE,2036,CSC,676.9344786567266,PJ
178,SW,2036,CSC,92.0674098917479,PJ
179,TX,2036,CSC,336.2355913446813,PJ
180,CA,2037,CSC,151.78836126994997,PJ
181,CEN,2037,CSC,185.84718221841192,PJ
182,MID_AT,2037,CSC,284.0274599626826,PJ
183,NE,2037,CSC,100.40295445208595,PJ
184,NW,2037,CSC,12.486939405742756,PJ
185,N_CEN,2037,CSC,164.9366110058915,PJ
186,SE,2037,CSC,679.1841851930782,PJ
187,SW,2037,CSC,92.58695705216425,PJ
188,TX,2037,CSC,337.24492602784983,PJ
189,CA,2038,CSC,151.9737759717003,PJ
190,CEN,2038,CSC,186.4286850090102,PJ
191,MID_AT,2038,CSC,284.93003171058047,PJ
192,NE,2038,CSC,100.61041987131817,PJ
193,NW,2038,CSC,12.51926972428319,PJ
194,N_CEN,2038,CSC,165.42284430856455,PJ
195,SE,2038,CSC,681.5493445848462,PJ
196,SW,2038,CSC,93.12984324517743,PJ
197,TX,2038,CSC,338.2917012556799,PJ
198,CA,2039,CSC,152.16086863455237,PJ
199,CEN,2039,CSC,187.02544105401586,PJ
200,MID_AT,2039,CSC,285.8806562391674,PJ
201,NE,2039,CSC,100.83618088976833,PJ
202,NW,2039,CSC,12.551979649230109,PJ
203,N_CEN,2039,CSC,165.93848255765113,PJ
204,SE,2039,CSC,683.9645971516394,PJ
205,SW,2039,CSC,93.67983262202443,PJ
206,TX,2039,CSC,339.352516687758,PJ
207,CA,2040,CSC,152.37564765558437,PJ
208,CEN,2040,CSC,187.64875496081635,PJ
209,MID_AT,2040,CSC,286.86881241151656,PJ
210,NE,2040,CSC,101.0724424440381,PJ
211,NW,2040,CSC,12.586336502594355,PJ
212,N_CEN,2040,CSC,166.4640981851635,PJ
213,SE,2040,CSC,686.3800975511176,PJ
214,SW,2040,CSC,94.23083673941909,PJ
215,TX,2040,CSC,340.42347226734876,PJ
216,CA,2041,CSC,152.59042667661635,PJ
217,CEN,2041,CSC,188.26614841842462,PJ
218,MID_AT,2041,CSC,287.87966131756224,PJ
219,NE,2041,CSC,101.33627484007447,PJ
220,NW,2041,CSC,12.621499745004835,PJ
221,N_CEN,2041,CSC,166.99417689338424,PJ
222,SE,2041,CSC,688.7735829370855,PJ
223,SW,2041,CSC,94.80213566776753,PJ
224,TX,2041,CSC,341.4866277334682,PJ
225,CA,2042,CSC,152.83205307527726,PJ
226,CEN,2042,CSC,188.91112081554408,PJ
227,MID_AT,2042,CSC,288.9379382334548,PJ
228,NE,2042,CSC,101.62219795617854,PJ
229,NW,2042,CSC,12.658140272355551,PJ
230,N_CEN,2042,CSC,167.57046344776182,PJ
231,SE,2042,CSC,691.1692172016704,PJ
232,SW,2042,CSC,95.37140511502062,PJ
233,TX,2042,CSC,342.57630358538927,PJ
234,CA,2043,CSC,153.0812302988965,PJ
235,CEN,2043,CSC,189.56524893510434,PJ
236,MID_AT,2043,CSC,290.069883891002,PJ
237,NE,2043,CSC,101.95732656346281,PJ
238,NW,2043,CSC,12.69634791045238,PJ
239,N_CEN,2043,CSC,168.1632902471239,PJ
240,SE,2043,CSC,693.6517401844418,PJ
241,SW,2043,CSC,95.96908729760897,PJ
242,TX,2043,CSC,343.6784596188653,PJ
243,CA,2044,CSC,153.36061082234818,PJ
244,CEN,2044,CSC,190.244368784111,PJ
245,MID_AT,2044,CSC,291.25594973306545,PJ
246,NE,2044,CSC,102.31583672401767,PJ
247,NW,2044,CSC,12.736630768493168,PJ
248,N_CEN,2044,CSC,168.77817099121455,PJ
249,SE,2044,CSC,696.1755364727138,PJ
250,SW,2044,CSC,96.57488740457889,PJ
251,TX,2044,CSC,344.8110360948778,PJ
252,CA,2045,CSC,153.64586420965637,PJ
253,CEN,2045,CSC,190.9552397640247,PJ
254,MID_AT,2045,CSC,292.49968440269555,PJ
255,NE,2045,CSC,102.69668885359505,PJ
256,NW,2045,CSC,12.778060811421248,PJ
257,N_CEN,2045,CSC,169.42928322813407,PJ
258,SE,2045,CSC,698.7502816115938,PJ
259,SW,2045,CSC,97.20098232250241,PJ
260,TX,2045,CSC,345.9662328999569,PJ
261,CA,2046,CSC,153.95796497459352,PJ
262,CEN,2046,CSC,191.68458546528424,PJ
263,MID_AT,2046,CSC,293.8009223260659,PJ
264,NE,2046,CSC,103.1055524198415,PJ
265,NW,2046,CSC,12.821250375455767,PJ
266,N_CEN,2046,CSC,170.1058621277287,PJ
267,SE,2046,CSC,701.4047391227289,PJ
268,SW,2046,CSC,97.83215094316442,PJ
269,TX,2046,CSC,347.15809023835067,PJ
270,CA,2047,CSC,154.29020127275237,PJ
271,CEN,2047,CSC,192.41504516746537,PJ
272,MID_AT,2047,CSC,295.1470122022918,PJ
273,NE,2047,CSC,103.5623461198168,PJ
274,NW,2047,CSC,12.865930937992427,PJ
275,N_CEN,2047,CSC,170.7916301851976,PJ
276,SE,2047,CSC,704.0384554440792,PJ
277,SW,2047,CSC,98.47143748820801,PJ
278,TX,2047,CSC,348.33512736114903,PJ
279,CA,2048,CSC,154.63586125972583,PJ
280,CEN,2048,CSC,193.18045861850956,PJ
281,MID_AT,2048,CSC,296.5381031164772,PJ
282,NE,2048,CSC,104.03959196626597,PJ
283,NW,2048,CSC,12.912196851497749,PJ
284,N_CEN,2048,CSC,171.5041783499861,PJ
285,SE,2048,CSC,706.6434663817062,PJ
286,SW,2048,CSC,99.1310188442053,PJ
287,TX,2048,CSC,349.5371248470554,PJ
288,CA,2049,CSC,155.00333474102263,PJ
289,CEN,2049,CSC,193.9553028406472,PJ
290,MID_AT,2049,CSC,297.9735162806513,PJ
291,NE,2049,CSC,104.54253430768485,PJ
292,NW,2049,CSC,12.960091453197846,PJ
293,N_CEN,2049,CSC,172.23326675975906,PJ
294,SE,2049,CSC,709.2668896253952,PJ
295,SW,2049,CSC,99.7997328651318,PJ
296,TX,2049,CSC,350.7523825258621,PJ
297,CA,2050,CSC,155.38926579443952,PJ
298,CEN,2050,CSC,194.75114368360948,PJ
299,MID_AT,2050,CSC,299.4637191683562,PJ
300,NE,2050,CSC,105.08622618453205,PJ
301,NW,2050,CSC,13.009823197135198,PJ
302,N_CEN,2050,CSC,172.97469498856728,PJ
303,SE,2050,CSC,711.9274878017682,PJ
304,SW,2050,CSC,100.48772695646437,PJ
305,TX,2050,CSC,351.9957206131658,PJ
306,CA,2017,CCK,33.603708477858156,PJ
307,CEN,2017,CCK,17.33298202945979,PJ
308,MID_AT,2017,CCK,36.798701582422765,PJ
309,NE,2017,CCK,19.154471495132725,PJ
310,NW,2017,CCK,11.747115745848538,PJ
311,N_CEN,2017,CCK,26.803673542056785,PJ
312,SE,2017,CCK,46.894242288472974,PJ
313,SW,2017,CCK,10.330862363598149,PJ
314,TX,2017,CCK,24.101293482454967,PJ
315,CA,2018,CCK,33.86492553432124,PJ
316,CEN,2018,CCK,17.595293165522627,PJ
317,MID_AT,2018,CCK,37.166027216658016,PJ
318,NE,2018,CCK,19.292322912041378,PJ
319,NW,2018,CCK,11.844531487850569,PJ
320,N_CEN,2018,CCK,27.02047886634047,PJ
321,SE,2018,CCK,47.50208378680595,PJ
322,SW,2018,CCK,10.445570065067665,PJ
323,TX,2018,CCK,24.522212952631563,PJ
324,CA,2019,CCK,34.14557838367592,PJ
325,CEN,2019,CCK,17.87655717358655,PJ
326,MID_AT,2019,CCK,37.53854163354673,PJ
327,NE,2019,CCK,19.424089661795463,PJ
328,NW,2019,CCK,11.948476564093676,PJ
329,N_CEN,2019,CCK,27.251698602801987,PJ
330,SE,2019,CCK,48.112417688884534,PJ
331,SW,2019,CCK,10.564758536125831,PJ
332,TX,2019,CCK,24.976747519384755,PJ
333,CA,2020,CCK,34.542845990380194,PJ
334,CEN,2020,CCK,18.094945193446613,PJ
335,MID_AT,2020,CCK,37.93749472447964,PJ
336,NE,2020,CCK,19.564239090140482,PJ
337,NW,2020,CCK,12.095252485675429,PJ
338,N_CEN,2020,CCK,27.516167304755047,PJ
339,SE,2020,CCK,48.80193243530593,PJ
340,SW,2020,CCK,10.731443164823723,PJ
341,TX,2020,CCK,25.31947535187229,PJ
342,CA,2021,CCK,34.94788791424111,PJ
343,CEN,2021,CCK,18.315494775392338,PJ
344,MID_AT,2021,CCK,38.33437841535345,PJ
345,NE,2021,CCK,19.69253716564008,PJ
346,NW,2021,CCK,12.244799047035883,PJ
347,N_CEN,2021,CCK,27.782717316444707,PJ
348,SE,2021,CCK,49.502993054685845,PJ
349,SW,2021,CCK,10.9008162552748,PJ
350,TX,2021,CCK,25.65928013248359,PJ
351,CA,2022,CCK,35.353707269817676,PJ
352,CEN,2022,CCK,18.53680146853089,PJ
353,MID_AT,2022,CCK,38.74354764424503,PJ
354,NE,2022,CCK,19.82623097302752,PJ
355,NW,2022,CCK,12.394416094467259,PJ
356,N_CEN,2022,CCK,28.052718118775513,PJ
357,SE,2022,CCK,50.20431638372843,PJ
358,SW,2022,CCK,11.069293191808148,PJ
359,TX,2022,CCK,26.008584831692634,PJ
360,CA,2023,CCK,35.75408460338462,PJ
361,CEN,2023,CCK,18.753892300267175,PJ
362,MID_AT,2023,CCK,39.14384031544024,PJ
363,NE,2023,CCK,19.962906898048317,PJ
364,NW,2023,CCK,12.541632866414963,PJ
365,N_CEN,2023,CCK,28.320348020944426,PJ
366,SE,2023,CCK,50.901244332995894,PJ
367,SW,2023,CCK,11.233289358752849,PJ
368,TX,2023,CCK,26.34838961230395,PJ
369,CA,2024,CCK,36.15757166381421,PJ
370,CEN,2024,CCK,18.97073097066616,PJ
371,MID_AT,2024,CCK,39.53790859808213,PJ
372,NE,2024,CCK,20.093811308308513,PJ
373,NW,2024,CCK,12.68992611305769,PJ
374,N_CEN,2024,CCK,28.581176921049853,PJ
375,SE,2024,CCK,51.589059026009,PJ
376,SW,2024,CCK,11.398181679615275,PJ
377,TX,2024,CCK,26.688925155884316,PJ
378,CA,2025,CCK,36.55483927051848,PJ
379,CEN,2025,CCK,19.180255080740746,PJ
380,MID_AT,2025,CCK,39.91842213008076,PJ
381,NE,2025,CCK,20.219440418568706,PJ
382,NW,2025,CCK,12.83654312855717,PJ
383,N_CEN,2025,CCK,28.832355317298177,PJ
384,SE,2025,CCK,52.25058901025903,PJ
385,SW,2025,CCK,11.56397015439543,PJ
386,TX,2025,CCK,27.015576203052596,PJ
387,CA,2026,CCK,36.94355512835044,PJ
388,CEN,2026,CCK,19.38765338298601,PJ
389,MID_AT,2026,CCK,40.288196319668,PJ
390,NE,2026,CCK,20.3498486140683,PJ
391,NW,2026,CCK,12.978729957384346,PJ
392,N_CEN,2026,CCK,29.07625410985124,PJ
393,SE,2026,CCK,52.896970092112724,PJ
394,SW,2026,CCK,11.719004782162823,PJ
395,TX,2026,CCK,27.340034961313723,PJ
396,CA,2027,CCK,37.33926787162338,PJ
397,CEN,2027,CCK,19.59155655358457,PJ
398,MID_AT,2027,CCK,40.655585841867826,PJ
399,NE,2027,CCK,20.472996650525484,PJ
400,NW,2027,CCK,13.123775846001562,PJ
401,N_CEN,2027,CCK,29.317303400610665,PJ
402,SE,2027,CCK,53.53637582055817,PJ
403,SW,2027,CCK,11.878520179518866,PJ
404,TX,2027,CCK,27.657916852853347,PJ
405,CA,2028,CCK,37.72798372945536,PJ
406,CEN,2028,CCK,19.799243398604425,PJ
407,MID_AT,2028,CCK,41.028147942212705,PJ
408,NE,2028,CCK,20.601232095546287,PJ
409,NW,2028,CCK,13.26691611132235,PJ
410,N_CEN,2028,CCK,29.558497486582713,PJ
411,SE,2028,CCK,54.18504216218699,PJ
412,SW,2028,CCK,12.03893173079264,PJ
413,TX,2028,CCK,27.988221714866917,PJ
414,CA,2029,CCK,38.1236964727283,PJ
415,CEN,2029,CCK,20.017595037027192,PJ
416,MID_AT,2029,CCK,41.400035723801956,PJ
417,NE,2029,CCK,20.73108144580647,PJ
418,NW,2029,CCK,13.411485281692766,PJ
419,N_CEN,2029,CCK,29.80797259550735,PJ
420,SE,2029,CCK,54.83224337722408,PJ
421,SW,2029,CCK,12.195758666395493,PJ
422,TX,2029,CCK,28.324372680632933,PJ
423,CA,2030,CCK,38.51396719399161,PJ
424,CEN,2030,CCK,20.234181546088884,PJ
425,MID_AT,2030,CCK,41.769095466280646,PJ
426,NE,2030,CCK,20.86055984226366,PJ
427,NW,2030,CCK,13.555243237402202,PJ
428,N_CEN,2030,CCK,30.050145992739843,PJ
429,SE,2030,CCK,55.48659508544462,PJ
430,SW,2030,CCK,12.357066371586996,PJ
431,TX,2030,CCK,28.66563898718234,PJ
432,CA,2031,CCK,38.910457368980204,PJ
433,CEN,2031,CCK,20.446047871073727,PJ
434,MID_AT,2031,CCK,42.13853992978786,PJ
435,NE,2031,CCK,20.989542023960233,PJ
436,NW,2031,CCK,13.700518518172608,PJ
437,N_CEN,2031,CCK,30.29610398703261,PJ
438,SE,2031,CCK,56.131041187073436,PJ
439,SW,2031,CCK,12.516581768943041,PJ
440,TX,2031,CCK,28.998866901072166,PJ
441,CA,2032,CCK,39.30228295367483,PJ
442,CEN,2032,CCK,20.657409873383962,PJ
443,MID_AT,2032,CCK,42.508187842853275,PJ
444,NE,2032,CCK,21.112627429938616,PJ
445,NW,2032,CCK,13.844576352106149,PJ
446,N_CEN,2032,CCK,30.534782377630126,PJ
447,SE,2032,CCK,56.784337835293975,PJ
448,SW,2032,CCK,12.676993320216814,PJ
449,TX,2032,CCK,29.33355634090007,PJ
450,CA,2033,CCK,39.703437718957424,PJ
451,CEN,2033,CCK,20.87089768352351,PJ
452,MID_AT,2033,CCK,42.88445392274944,PJ
453,NE,2033,CCK,21.25178442876244,PJ
454,NW,2033,CCK,13.992022516207049,PJ
455,N_CEN,2033,CCK,30.779159771814964,PJ
456,SE,2033,CCK,57.43130412351451,PJ
457,SW,2033,CCK,12.840989487161512,PJ
458,TX,2033,CCK,29.670438069635157,PJ
459,CA,2034,CCK,40.09992789394604,PJ
460,CEN,2034,CCK,21.086799844266974,PJ
461,MID_AT,2034,CCK,43.2699311818321,PJ
462,NE,2034,CCK,21.385791388543847,PJ
463,NW,2034,CCK,14.13777451522426,PJ
464,N_CEN,2034,CCK,31.033644163491772,PJ
465,SE,2034,CCK,58.102182290835465,PJ
466,SW,2034,CCK,13.003193346270747,PJ
467,TX,2034,CCK,30.01535819102986,PJ
468,CA,2035,CCK,40.50108265922863,PJ
469,CEN,2035,CCK,21.304214973034185,PJ
470,MID_AT,2035,CCK,43.65171169073933,PJ
471,NE,2035,CCK,21.510302808325253,PJ
472,NW,2035,CCK,14.284585054996077,PJ
473,N_CEN,2035,CCK,31.288629264797255,PJ
474,SE,2035,CCK,58.77068762849378,PJ
475,SW,2035,CCK,13.163604897544516,PJ
476,TX,2035,CCK,30.35589373461021,PJ
477,CA,2036,CCK,40.902237424511235,PJ
478,CEN,2036,CCK,21.51835137723563,PJ
479,MID_AT,2036,CCK,44.03378628493991,PJ
480,NE,2036,CCK,21.641640802867254,PJ
481,NW,2036,CCK,14.432190125179243,PJ
482,N_CEN,2036,CCK,31.540909659521713,PJ
483,SE,2036,CCK,59.42758730615208,PJ
484,SW,2036,CCK,13.328497218406952,PJ
485,TX,2036,CCK,30.694236989283418,PJ
486,CA,2037,CCK,41.299505031215496,PJ
487,CEN,2037,CCK,21.73212710296884,PJ
488,MID_AT,2037,CCK,44.41615405049732,PJ
489,NE,2037,CCK,21.776702822648645,PJ
490,NW,2037,CCK,14.57769479810284,PJ
491,N_CEN,2037,CCK,31.79716366251294,PJ
492,SE,2037,CCK,60.08943978710624,PJ
493,SW,2037,CCK,13.488012615762994,PJ
494,TX,2037,CCK,31.02527261426603,PJ
495,CA,2038,CCK,41.699882364782454,PJ
496,CEN,2038,CCK,21.946804211282167,PJ
497,MID_AT,2038,CCK,44.80166512249358,PJ
498,NE,2038,CCK,21.90965472243006,PJ
499,NW,2038,CCK,14.725070476132805,PJ
500,N_CEN,2038,CCK,32.05512095282781,PJ
501,SE,2038,CCK,60.75633264124379,PJ
502,SW,2038,CCK,13.652904936625411,PJ
503,TX,2038,CCK,31.368731209722643,PJ
504,CA,2039,CCK,42.10025969834937,PJ
505,CEN,2039,CCK,22.16605660510412,PJ
506,MID_AT,2039,CCK,45.19256617485212,PJ
507,NE,2039,CCK,22.041614192690258,PJ
508,NW,2039,CCK,14.871969435915975,PJ
509,N_CEN,2039,CCK,32.318509764301616,PJ
510,SE,2039,CCK,61.441774504594214,PJ
511,SW,2039,CCK,13.815108795734655,PJ
512,TX,2039,CCK,31.705612938457726,PJ
513,CA,2040,CCK,42.501414463631974,PJ
514,CEN,2040,CCK,22.382535224215797,PJ
515,MID_AT,2040,CCK,45.58391691437315,PJ
516,NE,2040,CCK,22.174503461992877,PJ
517,NW,2040,CCK,15.019574506099135,PJ
518,N_CEN,2040,CCK,32.57900485798794,PJ
519,SE,2040,CCK,62.11397044157787,PJ
520,SW,2040,CCK,13.980001116597078,PJ
521,TX,2040,CCK,32.05053305985242,PJ
522,CA,2041,CCK,42.903346660630184,PJ
523,CEN,2041,CCK,22.60560704671542,PJ
