,periods,regions,tech,vintage,cost_fixed,cost_fixed_units,capacity,capacity_units,lifetime
168,2020,CA,C_GHPHE_ELC_N,2020,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
169,2025,CA,C_GHPHE_ELC_N,2020,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
170,2030,CA,C_GHPHE_ELC_N,2020,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
171,2025,CA,C_GHPHE_ELC_N,2025,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
172,2030,CA,C_GHPHE_ELC_N,2025,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
173,2035,CA,C_GHPHE_ELC_N,2025,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
174,2030,CA,C_GHPHE_ELC_N,2030,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
175,2035,CA,C_GHPHE_ELC_N,2030,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
176,2040,CA,C_GHPHE_ELC_N,2030,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
177,2035,CA,C_GHPHE_ELC_N,2035,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
178,2040,CA,C_GHPHE_ELC_N,2035,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
179,2045,CA,C_GHPHE_ELC_N,2035,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
180,2040,CA,C_GHPHE_ELC_N,2040,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
181,2045,CA,C_GHPHE_ELC_N,2040,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
182,2050,CA,C_GHPHE_ELC_N,2040,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
183,2045,CA,C_GHPHE_ELC_N,2045,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
184,2050,CA,C_GHPHE_ELC_N,2045,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
185,2050,CA,C_GHPHE_ELC_N,2050,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
186,2014,CA,C_GHPHE_ELC_R,2014,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
187,2020,CA,C_GHPHE_ELC_R,2014,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
188,2025,CA,C_GHPHE_ELC_R,2014,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
189,2018,CA,C_GHPHE_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
190,2020,CA,C_GHPHE_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
191,2025,CA,C_GHPHE_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
192,2030,CA,C_GHPHE_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
193,2020,CA,C_GHPST_ELC_N,2020,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
194,2025,CA,C_GHPST_ELC_N,2020,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
195,2030,CA,C_GHPST_ELC_N,2020,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
196,2025,CA,C_GHPST_ELC_N,2025,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
197,2030,CA,C_GHPST_ELC_N,2025,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
198,2035,CA,C_GHPST_ELC_N,2025,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
199,2030,CA,C_GHPST_ELC_N,2030,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
200,2035,CA,C_GHPST_ELC_N,2030,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
201,2040,CA,C_GHPST_ELC_N,2030,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
202,2035,CA,C_GHPST_ELC_N,2035,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
203,2040,CA,C_GHPST_ELC_N,2035,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
204,2045,CA,C_GHPST_ELC_N,2035,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
205,2040,CA,C_GHPST_ELC_N,2040,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
206,2045,CA,C_GHPST_ELC_N,2040,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
207,2050,CA,C_GHPST_ELC_N,2040,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
208,2045,CA,C_GHPST_ELC_N,2045,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
209,2050,CA,C_GHPST_ELC_N,2045,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
210,2050,CA,C_GHPST_ELC_N,2050,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
211,2014,CA,C_GHP_ELC_R,2014,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
212,2020,CA,C_GHP_ELC_R,2014,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
213,2025,CA,C_GHP_ELC_R,2014,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
214,2018,CA,C_GHP_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
215,2020,CA,C_GHP_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
216,2025,CA,C_GHP_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
217,2030,CA,C_GHP_ELC_R,2018,0.3463768265277268,M$/PJ/yr,0.0004436316288,PJ/yr,14.0
218,2020,CA,C_LT_8FTLEDHE_LFL_N,2020,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
219,2025,CA,C_LT_8FTLEDHE_LFL_N,2020,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
220,2030,CA,C_LT_8FTLEDHE_LFL_N,2020,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
221,2025,CA,C_LT_8FTLEDHE_LFL_N,2025,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
222,2030,CA,C_LT_8FTLEDHE_LFL_N,2025,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
223,2035,CA,C_LT_8FTLEDHE_LFL_N,2025,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
224,2030,CA,C_LT_8FTLEDHE_LFL_N,2030,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
225,2035,CA,C_LT_8FTLEDHE_LFL_N,2030,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
226,2040,CA,C_LT_8FTLEDHE_LFL_N,2030,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
227,2035,CA,C_LT_8FTLEDHE_LFL_N,2035,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
228,2040,CA,C_LT_8FTLEDHE_LFL_N,2035,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
229,2045,CA,C_LT_8FTLEDHE_LFL_N,2035,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
230,2040,CA,C_LT_8FTLEDHE_LFL_N,2040,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
231,2045,CA,C_LT_8FTLEDHE_LFL_N,2040,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
232,2050,CA,C_LT_8FTLEDHE_LFL_N,2040,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
233,2045,CA,C_LT_8FTLEDHE_LFL_N,2045,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
234,2050,CA,C_LT_8FTLEDHE_LFL_N,2045,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
235,2050,CA,C_LT_8FTLEDHE_LFL_N,2050,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
236,2020,CA,C_LT_8FTLEDST_LFL_N,2020,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
237,2025,CA,C_LT_8FTLEDST_LFL_N,2020,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
238,2030,CA,C_LT_8FTLEDST_LFL_N,2020,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
239,2025,CA,C_LT_8FTLEDST_LFL_N,2025,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
240,2030,CA,C_LT_8FTLEDST_LFL_N,2025,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
241,2035,CA,C_LT_8FTLEDST_LFL_N,2025,1.4521766043379534,M$/giga lumens,7.520000000000001e-06,giga lumens,12.0
242,2030,CA,C_LT_8FTLEDST_LFL_N,2030,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
243,2035,CA,C_LT_8FTLEDST_LFL_N,2030,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
244,2040,CA,C_LT_8FTLEDST_LFL_N,2030,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
245,2035,CA,C_LT_8FTLEDST_LFL_N,2035,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
246,2040,CA,C_LT_8FTLEDST_LFL_N,2035,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
247,2045,CA,C_LT_8FTLEDST_LFL_N,2035,0.8056673984510986,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
248,2040,CA,C_LT_8FTLEDST_LFL_N,2040,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
249,2045,CA,C_LT_8FTLEDST_LFL_N,2040,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
250,2050,CA,C_LT_8FTLEDST_LFL_N,2040,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
251,2045,CA,C_LT_8FTLEDST_LFL_N,2045,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
252,2050,CA,C_LT_8FTLEDST_LFL_N,2045,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
253,2050,CA,C_LT_8FTLEDST_LFL_N,2050,0.5388901141957679,M$/giga lumens,7.680000000000001e-06,giga lumens,12.0
254,2020,CA,C_LT_8FTLUMHE_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
