,regions,tech,vintage,cost_invest,cost_invest_units,capacity,capacity units
0,CA,C_AHPHE_ELC_N,2020,10.756460101174934,M$/PJ/year,1.0,PJ/year
2,CA,C_AHPHE_ELC_N,2025,10.756460101174934,M$/PJ/year,1.0,PJ/year
4,CA,C_AHPHE_ELC_N,2030,10.756460101174934,M$/PJ/year,1.0,PJ/year
6,CA,C_AHPHE_ELC_N,2035,10.756460101174934,M$/PJ/year,1.0,PJ/year
8,CA,C_AHPHE_ELC_N,2040,10.756460101174934,M$/PJ/year,1.0,PJ/year
10,CA,C_AHPHE_ELC_N,2045,10.756460101174934,M$/PJ/year,1.0,PJ/year
12,CA,C_AHPHE_ELC_N,2050,10.756460101174934,M$/PJ/year,1.0,PJ/year
17,CA,C_AHPST_ELC_N,2020,8.492481356070495,M$/PJ/year,1.0,PJ/year
19,CA,C_AHPST_ELC_N,2025,8.492481356070495,M$/PJ/year,1.0,PJ/year
21,CA,C_AHPST_ELC_N,2030,8.492481356070495,M$/PJ/year,1.0,PJ/year
23,CA,C_AHPST_ELC_N,2035,8.492481356070495,M$/PJ/year,1.0,PJ/year
25,CA,C_AHPST_ELC_N,2040,8.492481356070495,M$/PJ/year,1.0,PJ/year
27,CA,C_AHPST_ELC_N,2045,8.492481356070495,M$/PJ/year,1.0,PJ/year
29,CA,C_AHPST_ELC_N,2050,8.492481356070495,M$/PJ/year,1.0,PJ/year
37,CA,C_CK_RANGEHE_ELC_N,2020,18.535157362533496,M$/PJ/yr,0.000536112,PJ/yr
38,CA,C_CK_RANGEHE_ELC_N,2025,18.535157362533496,M$/PJ/yr,0.000536112,PJ/yr
39,CA,C_CK_RANGEHE_ELC_N,2030,18.535157362533496,M$/PJ/yr,0.000536112,PJ/yr
40,CA,C_CK_RANGEHE_ELC_N,2035,18.535157362533496,M$/PJ/yr,0.000536112,PJ/yr
41,CA,C_CK_RANGEHE_ELC_N,2040,18.535157362533496,M$/PJ/yr,0.000536112,PJ/yr
42,CA,C_CK_RANGEHE_ELC_N,2045,18.535157362533496,M$/PJ/yr,0.000536112,PJ/yr
43,CA,C_CK_RANGEHE_ELC_N,2050,18.535157362533496,M$/PJ/yr,0.000536112,PJ/yr
46,CA,C_CK_RANGEHE_NGA_N,2020,6.126461397203139,M$/PJ/year,0.00127081977,PJ/year
47,CA,C_CK_RANGEHE_NGA_N,2025,6.126461397203139,M$/PJ/year,0.00127081977,PJ/year
48,CA,C_CK_RANGEHE_NGA_N,2030,6.126461397203139,M$/PJ/year,0.00127081977,PJ/year
49,CA,C_CK_RANGEHE_NGA_N,2035,6.126461397203139,M$/PJ/year,0.00127081977,PJ/year
50,CA,C_CK_RANGEHE_NGA_N,2040,6.126461397203139,M$/PJ/year,0.00127081977,PJ/year
51,CA,C_CK_RANGEHE_NGA_N,2045,6.126461397203139,M$/PJ/year,0.00127081977,PJ/year
52,CA,C_CK_RANGEHE_NGA_N,2050,6.126461397203139,M$/PJ/year,0.00127081977,PJ/year
55,CA,C_CK_RANGEST_ELC_N,2020,21.006511677537965,M$/PJ/yr,0.00047304,PJ/yr
56,CA,C_CK_RANGEST_ELC_N,2025,21.006511677537965,M$/PJ/yr,0.00047304,PJ/yr
57,CA,C_CK_RANGEST_ELC_N,2030,21.006511677537965,M$/PJ/yr,0.00047304,PJ/yr
