,regions,tech,vintage,tech_rate,tech_rate_notes
0,CA,C_AHPHE_ELC_N,2020,0.3,nan
1,CA,C_AHPST_ELC_N,2020,0.3,nan
2,CA,C_CK_RANGEHE_ELC_N,2020,0.3,nan
3,CA,C_CK_RANGEHE_NGA_N,2020,0.3,nan
4,CA,C_CK_RANGEST_ELC_N,2020,0.3,nan
5,CA,C_CK_RANGEST_NGA_N,2020,0.3,nan
6,CA,C_GHPHE_ELC_N,2020,0.3,nan
7,CA,C_GHPST_ELC_N,2020,0.3,nan
8,CA,C_LT_8FTLEDHE_LFL_N,2020,0.3,nan
9,CA,C_LT_8FTLEDST_LFL_N,2020,0.3,nan
10,CA,C_LT_8FTLUMHE_LFL_N,2020,0.3,nan
11,CA,C_LT_8FTLUMST_LFL_N,2020,0.3,nan
12,CA,C_LT_8FTT8HE_LFL_N,2020,0.3,nan
13,CA,C_LT_8FTT8HOHE_LFL_N,2020,0.3,nan
14,CA,C_LT_8FTT8HOST_LFL_N,2020,0.3,nan
15,CA,C_LT_8FTT8ST_LFL_N,2020,0.3,nan
16,CA,C_LT_CFLHE_GSL_N,2020,0.3,nan
17,CA,C_LT_CFLST_GSL_N,2020,0.3,nan
18,CA,C_LT_HALST_RFL_N,2020,0.3,nan
19,CA,C_LT_HIRST_RFL_N,2020,0.3,nan
20,CA,C_LT_LEDHE_GSL_N,2020,0.3,nan
21,CA,C_LT_LEDHE_LFL_N,2020,0.3,nan
22,CA,C_LT_LEDHE_RFL_N,2020,0.3,nan
23,CA,C_LT_LEDST_GSL_N,2020,0.3,nan
24,CA,C_LT_LEDST_LFL_N,2020,0.3,nan
25,CA,C_LT_LEDST_RFL_N,2020,0.3,nan
26,CA,C_LT_LUMHE_HB_N,2020,0.3,nan
27,CA,C_LT_LUMHE_LB_N,2020,0.3,nan
28,CA,C_LT_LUMHE_LFL_N,2020,0.3,nan
29,CA,C_LT_LUMST_HB_N,2020,0.3,nan
30,CA,C_LT_LUMST_LB_N,2020,0.3,nan
31,CA,C_LT_LUMST_LFL_N,2020,0.3,nan
32,CA,C_LT_MERCST_HB_N,2020,0.3,nan
33,CA,C_LT_MERCST_LB_N,2020,0.3,nan
34,CA,C_LT_MTHALST_HB_N,2020,0.3,nan
