,Tech_Code_Pandas,regions,Subsector,input_comm,Tech Description,tech,vintage,output_comm,efficiency,eff_notes
0,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE FOR EXISTING CAPACITY",C_CK_RANGEHE_ELC_R,2014.0,CCKELC,0.85,Btu out / Btu in
1,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"REFERENCE RANGE, ELECTRIC, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGE_ELC_R,2014.0,CCKELC,0.75,Btu out / Btu in
2,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE FOR EXISTING CAPACITY",C_CK_RANGEHE_ELC_R,2018.0,CCKELC,0.85,Btu out / Btu in
3,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"REFERENCE RANGE, ELECTRIC, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGE_ELC_R,2018.0,CCKELC,0.75,Btu out / Btu in
4,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEHE_ELC_N,2020.0,CCKELC,0.85,Btu out / Btu in
5,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"STANDARD RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEST_ELC_N,2020.0,CCKELC,0.75,Btu out / Btu in
6,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEHE_ELC_N,2025.0,CCKELC,0.85,Btu out / Btu in
7,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"STANDARD RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEST_ELC_N,2025.0,CCKELC,0.75,Btu out / Btu in
8,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEHE_ELC_N,2030.0,CCKELC,0.85,Btu out / Btu in
9,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"STANDARD RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEST_ELC_N,2030.0,CCKELC,0.75,Btu out / Btu in
10,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEHE_ELC_N,2035.0,CCKELC,0.85,Btu out / Btu in
11,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"STANDARD RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEST_ELC_N,2035.0,CCKELC,0.75,Btu out / Btu in
12,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEHE_ELC_N,2040.0,CCKELC,0.85,Btu out / Btu in
13,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"STANDARD RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEST_ELC_N,2040.0,CCKELC,0.75,Btu out / Btu in
14,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEHE_ELC_N,2045.0,CCKELC,0.85,Btu out / Btu in
15,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"STANDARD RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEST_ELC_N,2045.0,CCKELC,0.75,Btu out / Btu in
16,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"HIGH EFFICIENCY RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEHE_ELC_N,2050.0,CCKELC,0.85,Btu out / Btu in
17,C_CK_RANGE_ELC,CA,Commercial Cooking,ELC_COM,"STANDARD RANGE, ELECTRIC-INDUCTION, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGEST_ELC_N,2050.0,CCKELC,0.75,Btu out / Btu in
18,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE FOR EXISTING CAPACITY",C_CK_RANGEHE_NGA_R,2014.0,CCKNGA,0.5,Btu out / Btu in
19,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"REFERENCE RANGE, GAS, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGE_NGA_R,2014.0,CCKNGA,0.35,Btu out / Btu in
20,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE FOR EXISTING CAPACITY",C_CK_RANGEHE_NGA_R,2018.0,CCKNGA,0.5,Btu out / Btu in
21,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"REFERENCE RANGE, GAS, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGE_NGA_R,2018.0,CCKNGA,0.35,Btu out / Btu in
