,regions,tech,life,life_notes
0,CA,C_AHPHE_ELC_N,15.0,yrs
14,CA,C_AHPHE_ELC_R,20.0,yrs
17,CA,C_AHPST_ELC_N,15.0,yrs
31,CA,C_AHP_ELC_R,20.0,yrs
37,CA,C_CK_RANGEHE_ELC_N,12.0,yrs
44,CA,C_CK_RANGEHE_ELC_R,12.0,yrs
46,CA,C_CK_RANGEHE_NGA_N,12.0,yrs
53,CA,C_CK_RANGEHE_NGA_R,12.0,yrs
55,CA,C_CK_RANGEST_ELC_N,12.0,yrs
62,CA,C_CK_RANGEST_NGA_N,12.0,yrs
69,CA,C_CK_RANGE_ELC_R,12.0,yrs
71,CA,C_CK_RANGE_NGA_R,12.0,yrs
73,CA,C_GHPHE_ELC_N,14.0,yrs
87,CA,C_GHPHE_ELC_R,14.0,yrs
89,CA,C_GHPST_ELC_N,14.0,yrs
103,CA,C_GHP_ELC_R,14.0,yrs
107,CA,C_LT_8FTLEDHE_LFL_N,12.0,yrs
114,CA,C_LT_8FTLEDST_LFL_N,12.0,yrs
121,CA,C_LT_8FTLUMHE_LFL_N,24.0,yrs
128,CA,C_LT_8FTLUMST_LFL_N,24.0,yrs
135,CA,C_LT_8FTT8HE_LFL_N,6.0,yrs
142,CA,C_LT_8FTT8HOHE_LFL_N,5.0,yrs
149,CA,C_LT_8FTT8HOST_LFL_N,5.0,yrs
156,CA,C_LT_8FTT8HO_LFL_R,4.0,yrs
157,CA,C_LT_8FTT8ST_LFL_N,6.0,yrs
164,CA,C_LT_8FTT8_LFL_R,6.0,yrs
165,CA,C_LT_CFLHE_GSL_N,3.0,yrs
172,CA,C_LT_CFLST_GSL_N,3.0,yrs
179,CA,C_LT_CFL_GSL_R,3.0,yrs
180,CA,C_LT_HALST_RFL_N,2.0,yrs
187,CA,C_LT_HAL_RFL_R,2.0,yrs
188,CA,C_LT_HIRST_RFL_N,2.0,yrs
195,CA,C_LT_HIR_RFL_R,2.0,yrs
196,CA,C_LT_LEDHE_GSL_N,13.0,yrs
203,CA,C_LT_LEDHE_LFL_N,12.0,yrs
210,CA,C_LT_LEDHE_RFL_N,13.0,yrs
217,CA,C_LT_LEDST_GSL_N,13.0,yrs
224,CA,C_LT_LEDST_LFL_N,12.0,yrs
231,CA,C_LT_LEDST_RFL_N,13.0,yrs
238,CA,C_LT_LUMHE_HB_N,24.0,yrs
245,CA,C_LT_LUMHE_LB_N,24.0,yrs
252,CA,C_LT_LUMHE_LFL_N,24.0,yrs
259,CA,C_LT_LUMST_HB_N,24.0,yrs
266,CA,C_LT_LUMST_LB_N,24.0,yrs
273,CA,C_LT_LUMST_LFL_N,24.0,yrs
280,CA,C_LT_LUM_LFL_R,17.0,yrs
283,CA,C_LT_MERCST_HB_N,6.0,yrs
290,CA,C_LT_MERCST_LB_N,6.0,yrs
297,CA,C_LT_MERC_HB_R,6.0,yrs
298,CA,C_LT_MERC_LB_R,6.0,yrs
299,CA,C_LT_MTHALST_HB_N,4.0,yrs
306,CA,C_LT_MTHALST_LB_N,4.0,yrs
313,CA,C_LT_MTHAL_HB_R,4.0,yrs
314,CA,C_LT_MTHAL_LB_R,4.0,yrs
315,CA,C_LT_NAVAPST_HB_N,6.0,yrs
322,CA,C_LT_NAVAPST_LB_N,6.0,yrs
329,CA,C_LT_NAVAP_HB_R,6.0,yrs
330,CA,C_LT_NAVAP_LB_R,6.0,yrs
331,CA,C_LT_T5HE_LFL_N,8.0,yrs
338,CA,C_LT_T5HOHE_HB_N,7.0,yrs
345,CA,C_LT_T5HOST_HB_N,7.0,yrs
352,CA,C_LT_T5HO_HB_R,6.0,yrs
353,CA,C_LT_T5ST_LFL_N,8.0,yrs
360,CA,C_LT_T5_LFL_R,7.0,yrs
362,CA,C_LT_T8HE_LFL_N,6.0,yrs
369,CA,C_LT_T8ST_LFL_N,6.0,yrs
376,CA,C_LT_T8_LFL_R,6.0,yrs
377,CA,C_OW_DSL_N,25.0,yrs
384,CA,C_OW_DSL_R,25.0,yrs
387,CA,C_OW_ELC_N,25.0,yrs
394,CA,C_OW_ELC_R,25.0,yrs
397,CA,C_OW_NGA_N,25.0,yrs
404,CA,C_OW_NGA_R,25.0,yrs
407,CA,C_RF_BVMHE_ELC_N,10.0,yrs
414,CA,C_RF_BVMHE_ELC_R,10.0,yrs
416,CA,C_RF_BVMST_ELC_N,10.0,yrs
423,CA,C_RF_BVM_ELC_R,10.0,yrs
425,CA,C_RF_CENHE_ELC_N,10.0,yrs
432,CA,C_RF_CENST_ELC_N,10.0,yrs
439,CA,C_RF_CEN_ELC_R,10.0,yrs
441,CA,C_RF_CMPHE_ELC_N,15.0,yrs
448,CA,C_RF_CMPST_ELC_N,15.0,yrs
455,CA,C_RF_CMP_ELC_R,15.0,yrs
457,CA,C_RF_CNDHE_ELC_N,10.0,yrs
464,CA,C_RF_CNDST_ELC_N,10.0,yrs
471,CA,C_RF_CND_ELC_R,10.0,yrs
473,CA,C_RF_ICMHE_ELC_N,8.0,yrs
480,CA,C_RF_ICMST_ELC_N,8.0,yrs
487,CA,C_RF_ICM_ELC_R,8.0,yrs
489,CA,C_RF_RIFHE_ELC_N,10.0,yrs
496,CA,C_RF_RIFHE_ELC_R,10.0,yrs
498,CA,C_RF_RIFST_ELC_N,10.0,yrs
505,CA,C_RF_RIF_ELC_R,10.0,yrs
507,CA,C_RF_RIRHE_ELC_N,10.0,yrs
514,CA,C_RF_RIRHE_ELC_R,10.0,yrs
516,CA,C_RF_RIRST_ELC_N,10.0,yrs
523,CA,C_RF_RIR_ELC_R,10.0,yrs
525,CA,C_RF_RVMHE_ELC_N,14.0,yrs
532,CA,C_RF_RVMST_ELC_N,14.0,yrs
539,CA,C_RF_RVM_ELC_R,14.0,yrs
541,CA,C_RF_WIFHE_ELC_N,10.0,yrs
548,CA,C_RF_WIFHE_ELC_R,10.0,yrs
550,CA,C_RF_WIFST_ELC_N,10.0,yrs
557,CA,C_RF_WIF_ELC_R,10.0,yrs
559,CA,C_RF_WIRHE_ELC_N,12.0,yrs
566,CA,C_RF_WIRHE_ELC_R,12.0,yrs
568,CA,C_RF_WIRST_ELC_N,12.0,yrs
575,CA,C_RF_WIR_ELC_R,12.0,yrs
577,CA,C_SC_CCCHE_ELC_N,25.0,yrs
584,CA,C_SC_CCCHE_ELC_R,25.0,yrs
587,CA,C_SC_CCCST_ELC_N,25.0,yrs
594,CA,C_SC_CCC_ELC_R,25.0,yrs
597,CA,C_SC_CHA_NGA_N,23.0,yrs
604,CA,C_SC_CHA_NGA_R,23.0,yrs
607,CA,C_SC_CHEDAHE_N,25.0,yrs
614,CA,C_SC_CHEDA_R,25.0,yrs
617,CA,C_SC_CRCHE_ELC_N,20.0,yrs
