Date,Date_month,Region,Region_OEO,HDD_sum,HDD_count,CDD_sum,HDD_frac,CDD_frac
201201,1,1,CA,445,1,4,0.99109131403118,0.00890868596882
201201,1,2,NW,5222,5,1,0.999808539153743,0.000191460846257
201201,1,3,SW,4018,5,5,0.998757146408153,0.001242853591847
201201,1,4,TX,387,1,31,0.925837320574163,0.074162679425837
201201,1,5,CEN,5752,7,56,0.990358126721763,0.009641873278237
201201,1,6,N_CEN,8574,7,0,1,0
201201,1,7,SE,4445,8,176,0.961913005842891,0.038086994157109
201201,1,8,MID_AT,6396,7,0,1,0
201201,1,9,NE,7933,7,0,1,0
201202,2,1,CA,438,1,0,1,0
201202,2,2,NW,4626,5,0,1,0
201202,2,3,SW,3676,5,8,0.997828447339848,0.002171552660152
201202,2,4,TX,307,1,25,0.924698795180723,0.075301204819277
201202,2,5,CEN,4890,7,35,0.992893401015228,0.007106598984772
201202,2,6,N_CEN,7064,7,0,1,0
201202,2,7,SE,3476,8,188,0.948689956331878,0.051310043668122
201202,2,8,MID_AT,5160,7,0,1,0
201202,2,9,NE,6538,7,0,1,0
201203,3,1,CA,446,1,1,0.997762863534676,0.002237136465324
201203,3,2,NW,3880,5,1,0.999742334449884,0.000257665550116
201203,3,3,SW,2618,5,44,0.983471074380165,0.016528925619835
201203,3,4,TX,112,1,130,0.462809917355372,0.537190082644628
201203,3,5,CEN,2023,7,491,0.804693715194908,0.195306284805092
201203,3,6,N_CEN,3730,7,138,0.964322647362978,0.035677352637022
201203,3,7,SE,1334,8,828,0.617021276595745,0.382978723404255
201203,3,8,MID_AT,2937,7,96,0.968348170128586,0.031651829871415
201203,3,9,NE,4816,7,0,1,0
201204,4,1,CA,273,1,13,0.954545454545455,0.045454545454546
201204,4,2,NW,2713,5,0,1,0
201204,4,3,SW,1562,5,233,0.870194986072423,0.129805013927577
201204,4,4,TX,18,1,208,0.079646017699115,0.920353982300885
201204,4,5,CEN,1364,7,397,0.774559909142533,0.225440090857467
201204,4,6,N_CEN,3449,7,10,0.997108991037872,0.002891008962128
201204,4,7,SE,937,8,552,0.629281396910678,0.370718603089322
201204,4,8,MID_AT,2621,7,5,0.998095963442498,0.001904036557502
201204,4,9,NE,3692,7,0,1,0
201205,5,1,CA,130,1,54,0.706521739130435,0.293478260869565
201205,5,2,NW,2110,5,11,0.994813767090995,0.005186232909005
201205,5,3,SW,844,5,695,0.548408057179987,0.451591942820013
201205,5,4,TX,1,1,362,0.002754820936639,0.997245179063361
201205,5,5,CEN,448,7,1406,0.241639697950378,0.758360302049622
201205,5,6,N_CEN,1203,7,604,0.665744327614831,0.334255672385169
201205,5,7,SE,126,8,1976,0.059942911512845,0.940057088487155
201205,5,8,MID_AT,463,7,791,0.369218500797448,0.630781499202552
201205,5,9,NE,1357,7,147,0.902260638297872,0.097739361702128
201206,6,1,CA,51,1,108,0.320754716981132,0.679245283018868
201206,6,2,NW,1073,5,172,0.861847389558233,0.138152610441767
201206,6,3,SW,181,5,1573,0.103192702394527,0.896807297605473
201206,6,4,TX,0,1,524,0,1
201206,6,5,CEN,58,7,2412,0.023481781376518,0.976518218623482
201206,6,6,N_CEN,267,7,1169,0.185933147632312,0.814066852367688
201206,6,7,SE,15,8,2498,0.005968961400716,0.994031038599284
201206,6,8,MID_AT,93,7,1197,0.072093023255814,0.927906976744186
201206,6,9,NE,471,7,374,0.557396449704142,0.442603550295858
