NAME,STUSPS,Region
Maryland,MD,8
Iowa,IA,6
Delaware,DE,8
Ohio,OH,8
Pennsylvania,PA,8
Nebraska,NE,5
Washington,WA,2
Alabama,AL,7
Arkansas,AR,5
New Mexico,NM,3
Texas,TX,4
California,CA,1
Kentucky,KY,7
Georgia,GA,7
Wisconsin,WI,6
Oregon,OR,2
Missouri,MO,5
Virginia,VA,8
Tennessee,TN,7
Louisiana,LA,5
New York,NY,9
Michigan,MI,6
Idaho,ID,2
Florida,FL,7
Illinois,IL,6
Montana,MT,2
Minnesota,MN,6
Indiana,IN,6
Massachusetts,MA,9
Kansas,KS,5
Nevada,NV,3
Vermont,VT,9
Connecticut,CT,9
New Jersey,NJ,8
District of Columbia,DC,8
North Carolina,NC,7
Utah,UT,3
North Dakota,ND,6
South Carolina,SC,7
Mississippi,MS,7
Colorado,CO,3
South Dakota,SD,5
Oklahoma,OK,5
Wyoming,WY,2
West Virginia,WV,8
Maine,ME,9
New Hampshire,NH,9
Arizona,AZ,3
Rhode Island,RI,9
