Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,0.00%,0.00%,0.00%,11.85%,12.85%,13.85%,14.85%,15.85%,16.85%,17.85%,20.00%,20.00%,20.00%,20.00%,21.70%,23.30%,25.00%,27.00%,29.00%,31.00%,33.00%,33.00%,33.00%,33.00%,44.00%,44.00%,44.00%,52.00%,52.00%,52.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%,60.00%
2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.48%,0.48%,0.96%,1.77%,3.11%,3.11%,3.10%,5.26%,7.92%,7.89%,7.88%,7.88%,11.47%,11.47%,11.47%,11.47%,11.47%,12.87%,12.87%,12.87%,12.87%,12.87%,14.27%,14.27%,14.27%,14.27%,14.27%,15.87%,15.87%,15.87%,15.87%,15.87%,16.63%,16.63%,16.63%,16.63%,16.63%,16.63%,16.63%,16.63%,16.63%,16.63%,16.63%
3,0.00%,0.06%,0.11%,0.87%,0.93%,1.13%,1.87%,3.22%,3.43%,4.04%,4.18%,6.72%,6.88%,7.45%,7.59%,10.08%,10.38%,10.68%,10.94%,11.25%,15.21%,15.77%,16.76%,16.99%,17.98%,21.25%,21.25%,22.38%,22.38%,22.38%,24.85%,24.85%,24.85%,24.85%,24.85%,24.85%,24.85%,24.85%,24.85%,24.85%,27.92%,27.92%,27.92%,27.92%,27.92%,27.92%,27.92%,27.92%,27.92%,27.92%,28.87%
4,0.00%,0.00%,1.60%,1.67%,1.64%,1.69%,1.68%,2.25%,2.59%,3.76%,3.41%,4.18%,4.46%,5.42%,5.33%,5.93%,6.02%,5.97%,5.66%,5.52%,5.56%,5.44%,5.37%,5.33%,5.28%,5.24%,5.21%,5.18%,5.15%,5.10%,5.06%,5.02%,4.97%,4.93%,4.88%,4.83%,4.78%,4.72%,4.67%,4.63%,4.58%,4.53%,4.47%,4.42%,4.38%,4.33%,4.28%,4.23%,4.18%,4.13%,4.08%
5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%,0.32%,0.32%,0.80%,0.80%,0.80%,0.80%,1.60%,1.60%,1.60%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%
6,0.10%,0.10%,0.10%,0.10%,0.10%,0.22%,0.81%,0.68%,0.68%,1.19%,3.12%,3.36%,4.78%,5.24%,5.72%,7.17%,8.12%,8.53%,8.85%,9.71%,10.58%,11.40%,11.73%,12.10%,12.46%,13.17%,13.54%,13.53%,13.51%,13.50%,13.49%,13.47%,13.46%,13.45%,13.43%,13.41%,13.40%,13.38%,13.37%,13.35%,13.34%,13.32%,13.30%,13.29%,13.27%,13.25%,13.23%,13.21%,13.19%,13.17%,13.15%
7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.43%,0.43%,0.86%,0.86%,0.86%,1.43%,1.43%,1.43%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%,1.70%
8,0.00%,0.00%,0.95%,0.43%,0.43%,0.47%,0.83%,2.52%,2.75%,3.09%,3.51%,4.62%,5.18%,5.76%,6.72%,7.10%,8.17%,8.79%,9.76%,11.06%,12.99%,15.96%,16.84%,17.71%,18.58%,21.54%,22.45%,21.17%,21.87%,22.44%,25.19%,25.81%,26.49%,26.95%,27.29%,27.92%,28.69%,29.24%,29.91%,30.57%,31.23%,31.87%,32.50%,33.14%,33.77%,34.55%,34.65%,34.76%,34.87%,34.98%,35.08%
9,1.62%,2.27%,2.30%,2.56%,2.35%,2.50%,2.66%,3.00%,3.51%,5.34%,5.79%,6.27%,6.48%,6.45%,6.97%,7.48%,8.05%,9.99%,25.46%,26.46%,28.52%,30.31%,33.39%,36.70%,39.99%,43.31%,46.70%,49.98%,53.14%,56.25%,59.15%,59.40%,59.72%,59.97%,60.22%,60.47%,60.67%,60.88%,61.09%,61.29%,61.50%,61.71%,61.92%,62.12%,62.33%,62.54%,62.74%,62.95%,63.16%,63.37%,63.57%
Federal,0.13%,0.18%,0.56%,1.48%,1.54%,1.67%,1.95%,2.44%,2.67%,3.21%,3.76%,4.32%,4.83%,5.15%,5.59%,6.44%,7.08%,7.54%,9.16%,9.71%,10.83%,11.68%,12.12%,12.55%,13.88%,14.91%,15.34%,16.07%,16.39%,16.69%,18.12%,18.22%,18.34%,18.41%,18.47%,18.65%,18.76%,18.85%,18.95%,19.05%,19.36%,19.46%,19.56%,19.66%,19.76%,19.87%,19.90%,19.92%,19.94%,19.96%,20.03%
